Czas;Zmienna
0;2
0.01;2.009999833
0.02;2.019998667
0.03;2.0299955
0.04;2.039989334
0.05;2.049979169
0.06;2.059964006
0.07;2.069942847
0.08;2.079914694
0.09;2.089878549
0.1;2.099833417
0.11;2.109778301
0.12;2.119712207
0.13;2.129634143
0.14;2.139543115
0.15;2.149438132
0.16;2.159318207
0.17;2.169182349
0.18;2.179029573
0.19;2.188858895
0.2;2.198669331
0.21;2.2084599
0.22;2.218229623
0.23;2.227977524
0.24;2.237702626
0.25;2.247403959
0.26;2.257080552
0.27;2.266731437
0.28;2.276355649
0.29;2.285952225
0.3;2.295520207
0.31;2.305058636
0.32;2.314566561
0.33;2.324043028
0.34;2.333487092
0.35;2.342897807
0.36;2.352274233
0.37;2.361615432
0.38;2.370920469
0.39;2.380188415
0.4;2.389418342
0.41;2.398609328
0.42;2.407760453
0.43;2.416870802
0.44;2.425939465
0.45;2.434965534
0.46;2.443948107
0.47;2.452886285
0.48;2.461779176
0.49;2.470625888
0.5;2.479425539
0.51;2.488177247
0.52;2.496880138
0.53;2.505533341
0.54;2.514135992
0.55;2.522687229
0.56;2.531186198
0.57;2.539632049
0.58;2.548023937
0.59;2.556361023
0.6;2.564642473
0.61;2.57286746
0.62;2.581035161
0.63;2.589144758
0.64;2.597195441
0.65;2.605186406
0.66;2.613116852
0.67;2.620985987
0.68;2.628793024
0.69;2.636537182
0.7;2.644217687
0.71;2.651833771
0.72;2.659384672
0.73;2.666869635
0.74;2.674287912
0.75;2.68163876
0.76;2.688921445
0.77;2.696135239
0.78;2.703279419
0.79;2.710353272
0.8;2.717356091
0.81;2.724287174
0.82;2.73114583
0.83;2.737931371
0.84;2.74464312
0.85;2.751280405
0.86;2.757842563
0.87;2.764328937
0.88;2.770738879
0.89;2.777071748
0.9;2.78332691
0.91;2.78950374
0.92;2.79560162
0.93;2.801619941
0.94;2.8075581
0.95;2.813415505
0.96;2.819191568
0.97;2.824885713
0.98;2.83049737
0.99;2.836025979
1;2.841470985
1.01;2.846831845
1.02;2.852108022
1.03;2.857298989
1.04;2.862404227
1.05;2.867423226
1.06;2.872355482
1.07;2.877200504
1.08;2.881957807
1.09;2.886626914
1.1;2.89120736
1.11;2.895698686
1.12;2.900100442
1.13;2.904412189
1.14;2.908633496
1.15;2.91276394
1.16;2.916803109
1.17;2.920750598
1.18;2.924606012
1.19;2.928368967
1.2;2.932039086
1.21;2.935616002
1.22;2.939099356
1.23;2.942488802
1.24;2.945783999
1.25;2.948984619
1.26;2.952090342
1.27;2.955100856
1.28;2.95801586
1.29;2.960835064
1.3;2.963558185
1.31;2.966184952
1.32;2.9687151
1.33;2.971148378
1.34;2.973484542
1.35;2.975723358
1.36;2.977864602
1.37;2.979908061
1.38;2.98185353
1.39;2.983700815
1.4;2.98544973
1.41;2.987100101
1.42;2.988651763
1.43;2.99010456
1.44;2.991458348
1.45;2.992712991
1.46;2.993868363
1.47;2.99492435
1.48;2.995880845
1.49;2.996737752
1.5;2.997494987
1.51;2.998152472
1.52;2.998710144
1.53;2.999167945
1.54;2.999525831
1.55;2.999783764
1.56;2.99994172
1.57;2.999999683
1.58;2.999957646
1.59;2.999815615
1.6;2.999573603
1.61;2.999231634
1.62;2.998789743
1.63;2.998247974
1.64;2.997606381
1.65;2.996865028
1.66;2.99602399
1.67;2.99508335
1.68;2.994043202
1.69;2.992903651
1.7;2.99166481
1.71;2.990326804
1.72;2.988889766
1.73;2.98735384
1.74;2.985719179
1.75;2.983985947
1.76;2.982154317
1.77;2.980224473
1.78;2.978196607
1.79;2.976070922
1.8;2.973847631
1.81;2.971526956
1.82;2.969109129
1.83;2.966594392
1.84;2.963982996
1.85;2.961275203
1.86;2.958471283
1.87;2.955571517
1.88;2.952576194
1.89;2.949485615
1.9;2.946300088
1.91;2.943019931
1.92;2.939645474
1.93;2.936177052
1.94;2.932615014
1.95;2.928959715
1.96;2.925211521
1.97;2.921370806
1.98;2.917437955
1.99;2.913413361
2;2.909297427
2.01;2.905090563
2.02;2.900793192
2.03;2.896405741
2.04;2.891928651
2.05;2.887362369
2.06;2.882707351
2.07;2.877964063
2.08;2.87313298
2.09;2.868214583
2.1;2.863209367
2.11;2.85811783
2.12;2.852940482
2.13;2.84767784
2.14;2.842330432
2.15;2.836898791
2.16;2.831383461
2.17;2.825784993
2.18;2.820103948
2.19;2.814340892
2.2;2.808496404
2.21;2.802571066
2.22;2.796565472
2.23;2.790480222
2.24;2.784315925
2.25;2.778073197
2.26;2.771752662
2.27;2.765354953
2.28;2.758880708
2.29;2.752330576
2.3;2.745705212
2.31;2.739005278
2.32;2.732231444
2.33;2.725384387
2.34;2.718464793
2.35;2.711473353
2.36;2.704410766
2.37;2.697277738
2.38;2.690074984
2.39;2.682803222
2.4;2.675463181
2.41;2.668055593
2.42;2.660581201
2.43;2.653040752
2.44;2.645434998
2.45;2.637764702
2.46;2.63003063
2.47;2.622233555
2.48;2.614374258
2.49;2.606453523
2.5;2.598472144
2.51;2.590430918
2.52;2.58233065
2.53;2.574172148
2.54;2.56595623
2.55;2.557683717
2.56;2.549355436
2.57;2.54097222
2.58;2.532534908
2.59;2.524044342
2.6;2.515501372
2.61;2.506906852
2.62;2.498261642
2.63;2.489566607
2.64;2.480822615
2.65;2.472030541
2.66;2.463191265
2.67;2.45430567
2.68;2.445374645
2.69;2.436399082
2.7;2.42737988
2.71;2.418317941
2.72;2.40921417
2.73;2.400069478
2.74;2.390884779
2.75;2.381660992
2.76;2.372399039
2.77;2.363099847
2.78;2.353764345
2.79;2.344393467
2.8;2.33498815
2.81;2.325549335
2.82;2.316077964
2.83;2.306574986
2.84;2.297041351
2.85;2.287478012
2.86;2.277885926
2.87;2.268266051
2.88;2.25861935
2.89;2.248946787
2.9;2.239249329
2.91;2.229527947
2.92;2.219783612
2.93;2.210017299
2.94;2.200229985
2.95;2.190422647
2.96;2.180596268
2.97;2.170751829
2.98;2.160890315
2.99;2.151012712
3;2.141120008
3.01;2.131213192
3.02;2.121293255
3.03;2.111361189
3.04;2.101417986
3.05;2.091464642
3.06;2.081502152
3.07;2.071531511
3.08;2.061553717
3.09;2.051569768
3.1;2.041580662
3.11;2.031587398
3.12;2.021590976
3.13;2.011592394
3.14;2.001592653
3.15;1.991592753
3.16;1.981593693
3.17;1.971596474
3.18;1.961602095
3.19;1.951611557
3.2;1.941625857
3.21;1.931645994
3.22;1.921672967
3.23;1.911707772
3.24;1.901751406
3.25;1.891804865
3.26;1.881869144
3.27;1.871945236
3.28;1.862034133
3.29;1.852136826
3.3;1.842254306
3.31;1.83238756
3.32;1.822537575
3.33;1.812705336
3.34;1.802891827
3.35;1.793098028
3.36;1.78332492
3.37;1.773573478
3.38;1.763844679
3.39;1.754139496
3.4;1.744458898
3.41;1.734803854
3.42;1.72517533
3.43;1.715574287
3.44;1.706001688
3.45;1.696458487
3.46;1.686945641
3.47;1.6774641
3.48;1.668014812
