Czas;Zmienna1;Zmienna2
2;-2.832293673;2.482577728
2.1;-3.06017682;2.370757126
2.2;-3.294702458;2.244530581
2.3;-3.532434849;2.107927447
2.4;-3.769744917;1.964942889
2.5;-4.002859039;1.819336991
2.6;-4.227910759;1.674477827
2.7;-4.440994783;1.533234997
2.8;-4.638222554;1.39792382
2.9;-4.815778679;1.270295219
3;-4.96997749;1.151562837
3.1;-5.097318966;1.042457246
3.2;-5.194543283;0.943296953
3.3;-5.258683241;0.854066949
3.4;-5.287113855;0.774497302
3.5;-5.277598406;0.704136375
3.6;-5.228330299;0.642415208
3.7;-5.137970117;0.588701426
3.8;-5.005677305;0.54234232
3.9;-4.831135986;0.502697763
4;-4.614574483;0.469164186
4.1;-4.356778181;0.441191123
4.2;-4.05909545;0.418291897
4.3;-3.72343644;0.400049921
4.4;-3.352264628;0.386121932
4.5;-2.948581097;0.376239219
4.6;-2.515901624;0.370207728
4.7;-2.058226718;0.367907674
4.8;-1.580004879;0.369293112
4.9;-1.08608939;0.374391734
5;-0.581689073;0.383304995
5.1;-0.072313512;0.396208503
5.2;0.436286691;0.413352452
5.3;0.938183982;0.43506169
5.4;1.42734153;0.461734842
5.5;1.897683759;0.493841667
5.6;2.34316892;0.531917627
5.7;2.757862874;0.576554422
5.8;3.136013198;0.62838504
5.9;3.472122741;0.688061769
6;3.76102172;0.756225628
6.1;3.997937474;0.833465888
6.2;4.178561002;0.920268869
6.3;4.299109409;1.01695605
6.4;4.35638348;1.123612796
6.5;4.347819567;1.240010675
6.6;4.271535107;1.365528268
6.7;4.126367093;1.499077503
6.8;3.911902934;1.639044338
6.9;3.628503191;1.783253963
7;3.27731578;1.928970804
7.1;2.860281332;2.072942385
7.2;2.380129465;2.211493024
7.3;1.840365877;2.340668613
7.4;1.245250224;2.456427591
7.5;0.599764884;2.554866513
7.6;-0.090425196;2.632462374
7.7;-0.819021262;2.686309272
7.8;-1.57914772;2.714325113
7.9;-2.363416793;2.71540562
8;-3.16400027;2.689507918
8.1;-3.972707645;2.637653802
8.2;-4.78106986;2.561852313
8.3;-5.580427813;2.464950765
8.4;-6.362024695;2.350431452
8.5;-7.117101173;2.222176481
8.6;-7.836992407;2.08422503
8.7;-8.513225817;1.940545715
8.8;-9.137618524;1.794842354
8.9;-9.702373362;1.650405238
9;-10.20017236;1.51001334
9.1;-10.62426658;1.375886654
9.2;-10.96856132;1.249682994
9.3;-11.22769553;1.132530403
9.4;-11.3971146;1.025084887
9.5;-11.47313548;0.927603296
9.6;-11.45300342;0.840022349
9.7;-11.33493933;0.762036651
9.8;-11.11817747;0.693170603
9.9;-10.80299241;0.632841114
10;-10.39071529;0.580409662
10.1;-9.88373862;0.535223614
10.2;-9.285509651;0.496647536
10.3;-8.600512101;0.464085809
10.4;-7.834236277;0.436998084
10.5;-6.993137744;0.414909124
10.6;-6.084584822;0.397414516
10.7;-5.116795314;0.384183485
10.8;-4.09876299;0.374959886
10.9;-3.040174476;0.369562187
11;-1.951317322;0.367883044
11.1;-0.842980102;0.3698889
11.2;0.273654475;0.375619833
11.3;1.387122379;0.385189734
11.4;2.485795876;0.398786726
11.5;3.558004726;0.416673568
11.6;4.592159705;0.439187612
11.7;5.576877162;0.466739691
11.8;6.501103252;0.499811084
11.9;7.354236524;0.538947502
12;8.126247505;0.584748804
12.1;8.807793949;0.637852978
12.2;9.390330458;0.698912808
12.3;9.8662112;0.76856373
12.4;10.22878455;0.847381582
12.5;10.47247849;0.935829575
12.6;10.59287578;1.034194691
12.7;10.58677787;1.142515078
12.8;10.45225684;1.260501711
12.9;10.18869449;1.387459586
13;9.796808159;1.5222158
13.1;9.278662676;1.663063635
13.2;8.637668241;1.807732893
13.3;7.878563997;1.953396715
13.4;7.00738732;2.096723504
13.5;6.031428955;2.233979282
13.6;4.959174297;2.361180757
13.7;3.800231259;2.474293108
13.8;2.565245316;2.569459767
13.9;1.265802478;2.643245456
14;-0.085678945;2.692869505
